,state,county_name,totalvotes,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,county_fips,State,Abv
0,Alabama,Autauga,27770,0.27018365142239825,0.0,0.0,0.015448325531148721,0.714368023046453,01001,Alabama,AL
1,Alabama,Baldwin,109679,0.22409029987509005,0.0,0.0,0.014195971881581707,0.7617137282433283,01003,Alabama,AL
2,Alabama,Barbour,10518,0.45788172656398557,0.0,0.0,0.007606008746910059,0.5345122646891044,01005,Alabama,AL
3,Alabama,Bibb,9595,0.20698280354351226,0.0,0.0,0.008754559666492965,0.7842626367899947,01007,Alabama,AL
4,Alabama,Blount,27588,0.09569377990430622,0.0,0.0,0.008590691605045673,0.8957155284906481,01009,Alabama,AL
5,Alabama,Bullock,4613,0.7470192933015392,0.0,0.0,0.004552352048558422,0.24842835464990246,01011,Alabama,AL
6,Alabama,Butler,9488,0.4178962900505902,0.0,0.0,0.006850758853288365,0.5752529510961214,01013,Alabama,AL
7,Alabama,Calhoun,50983,0.29845242531824334,0.0,0.0,0.013063177922052449,0.6884843967597042,01015,Alabama,AL
8,Alabama,Chambers,15284,0.41644857367181365,0.0,0.0,0.010861031143679666,0.5726903951845067,01017,Alabama,AL
9,Alabama,Cherokee,12301,0.13202178684659785,0.0,0.0,0.007641655149987806,0.8603365580034144,01019,Alabama,AL
10,Alabama,Chilton,19310,0.1591403417918177,0.0,0.0,0.007871569135163127,0.8329880890730191,01021,Alabama,AL
11,Alabama,Choctaw,7464,0.41894426580921756,0.0,0.0,0.005493033226152197,0.5755627009646302,01023,Alabama,AL
12,Alabama,Clarke,13135,0.4381423677198325,0.0,0.0,0.0042634183479253905,0.5575942139322421,01025,Alabama,AL
13,Alabama,Clay,6930,0.18282828282828284,0.0,0.0,0.008946608946608947,0.8082251082251082,01027,Alabama,AL
14,Alabama,Cleburne,7227,0.09339975093399751,0.0,0.0,0.0094091600940916,0.8971910889719109,01029,Alabama,AL
15,Alabama,Coffee,22275,0.22787878787878788,0.0,0.0,0.013468013468013467,0.7586531986531987,01031,Alabama,AL
16,Alabama,Colbert,27886,0.2991823854263788,0.0,0.0,0.012192498027684143,0.688625116545937,01033,Alabama,AL
17,Alabama,Conecuh,6441,0.46048750194069243,0.0,0.0,0.005123428039124359,0.5343890700201832,01035,Alabama,AL
18,Alabama,Coosa,5479,0.3277970432560686,0.0,0.0,0.009490782989596642,0.6627121737543348,01037,Alabama,AL
19,Alabama,Covington,17430,0.15611015490533564,0.0,0.0,0.0070567986230636835,0.8368330464716007,01039,Alabama,AL
20,Alabama,Crenshaw,6617,0.2569140093698051,0.0,0.0,0.008009672056823333,0.7350763185733716,01041,Alabama,AL
21,Alabama,Cullman,41851,0.10699863802537574,0.0,0.0,0.011779885785285896,0.8812214761893383,01043,Alabama,AL
22,Alabama,Dale,19738,0.2619313000303982,0.0,0.0,0.01342587901509778,0.724642820954504,01045,Alabama,AL
23,Alabama,Dallas,17864,0.6846171070309002,0.0,0.0,0.006157635467980296,0.30922525750111957,01047,Alabama,AL
24,Alabama,Dekalb,29356,0.14583049461779535,0.0,0.0,0.010491892628423491,0.8436776127537812,01049,Alabama,AL
25,Alabama,Elmore,41030,0.2526687789422374,0.0,0.0,0.012161832805264441,0.7351693882524982,01051,Alabama,AL
26,Alabama,Escambia,15910,0.3091137649277184,0.0,0.0,0.007730986800754243,0.6831552482715273,01053,Alabama,AL
27,Alabama,Etowah,47728,0.2423524974857526,0.0,0.0,0.013262655045256453,0.7443848474689909,01055,Alabama,AL
28,Alabama,Fayette,8766,0.1591375770020534,0.0,0.0,0.008099475245265799,0.8327629477526808,01057,Alabama,AL
29,Alabama,Franklin,12578,0.16584512641119414,0.0,0.0,0.009222451900143107,0.8249324216886628,01059,Alabama,AL
30,Alabama,Geneva,12545,0.12714228776404943,0.0,0.0,0.008130729374252691,0.8647269828616979,01061,Alabama,AL
31,Alabama,Greene,4775,0.8134031413612566,0.0,0.0,0.003350785340314136,0.18324607329842932,01063,Alabama,AL
32,Alabama,Hale,7900,0.590253164556962,0.0,0.0,0.00569620253164557,0.4040506329113924,01065,Alabama,AL
33,Alabama,Henry,9298,0.2802753280275328,0.0,0.0,0.009141750914175092,0.7105829210582921,01067,Alabama,AL
34,Alabama,Houston,46173,0.27975223615532885,0.0,0.0,0.013817599029735993,0.7064301648149351,01069,Alabama,AL
35,Alabama,Jackson,23636,0.15726011169402607,0.0,0.0,0.010534777458114741,0.8322051108478592,01071,Alabama,AL
36,Alabama,Jefferson,325848,0.5575851317178562,0.0,0.0,0.016317424075028848,0.426097444207115,01073,Alabama,AL
37,Alabama,Lamar,7193,0.13596552203531212,0.0,0.0,0.005699986097594884,0.858334491867093,01075,Alabama,AL
38,Alabama,Lauderdale,44339,0.26872505018155574,0.0,0.0,0.015855116263334763,0.7154198335551095,01077,Alabama,AL
39,Alabama,Lawrence,16031,0.22219449815981535,0.0,0.0,0.009169733641070425,0.7686357681991142,01079,Alabama,AL
40,Alabama,Lee,71449,0.38992848045459,0.0,0.0,0.019146524094109083,0.590924995451301,01081,Alabama,AL
41,Alabama,Limestone,49235,0.27768863613283234,0.0,0.0,0.01874682644460242,0.7035645374225652,01083,Alabama,AL
42,Alabama,Lowndes,6835,0.7274323335771763,0.0,0.0,0.003950256035113387,0.2686174103877103,01085,Alabama,AL
43,Alabama,Macon,8723,0.8148572738736674,0.0,0.0,0.008483319958729795,0.1766594061676029,01087,Alabama,AL
44,Alabama,Madison,194767,0.4481560017867503,0.0,0.0,0.02413653236944657,0.5277074658438031,01089,Alabama,AL
45,Alabama,Marengo,10900,0.50348623853211,0.0,0.0,0.006330275229357798,0.4901834862385321,01091,Alabama,AL
46,Alabama,Marion,13807,0.10596074454986601,0.0,0.0,0.010067357137683784,0.8839718983124502,01093,Alabama,AL
47,Alabama,Marshall,39655,0.1498676081200353,0.0,0.0,0.013138317992686924,0.8369940738872778,01095,Alabama,AL
48,Alabama,Mobile,183164,0.43389530693804457,0.0,0.0,0.013359612150859339,0.5527450809110961,01097,Alabama,AL
49,Alabama,Monroe,10668,0.4176040494938133,0.0,0.0,0.006186726659167604,0.5762092238470191,01099,Alabama,AL
50,Alabama,Montgomery,99139,0.6508941990538537,0.0,0.0,0.013102815239209595,0.3360029857069367,01101,Alabama,AL
51,Alabama,Morgan,53722,0.24634228062990954,0.0,0.0,0.015338222702058747,0.7383194966680318,01103,Alabama,AL
52,Alabama,Perry,5230,0.7380497131931166,0.0,0.0,0.005927342256214149,0.2560229445506692,01105,Alabama,AL
53,Alabama,Pickens,9668,0.41601158460901944,0.0,0.0,0.005378568473314025,0.5786098469176665,01107,Alabama,AL
54,Alabama,Pike,13841,0.40719601184885484,0.0,0.0,0.011776605736579727,0.5810273824145654,01109,Alabama,AL
55,Alabama,Randolph,10837,0.20328504198578942,0.0,0.0,0.0069207345206237884,0.7897942234935867,01111,Alabama,AL
56,Alabama,Russell,21329,0.5264194289465047,0.0,0.0,0.011111632050260209,0.46246893900323505,01113,Alabama,AL
57,Alabama,Shelby,114950,0.28941278816876903,0.0,0.0,0.01724227925184863,0.6933449325793823,01117,Alabama,AL
58,Alabama,St. Clair,44441,0.1742535046466101,0.0,0.0,0.011948426003015234,0.8137980693503747,01115,Alabama,AL
59,Alabama,Sumter,6291,0.7388332538547131,0.0,0.0,0.00715307582260372,0.2540136703226832,01119,Alabama,AL
60,Alabama,Talladega,35663,0.3683930123657572,0.0,0.0,0.008131677088298797,0.623475310545944,01121,Alabama,AL
61,Alabama,Tallapoosa,20991,0.2791196226954409,0.0,0.0,0.008051069505978753,0.7128293077985803,01123,Alabama,AL
62,Alabama,Tuscaloosa,90172,0.41881071729583463,0.0,0.0,0.014305992991172425,0.566883289712993,01125,Alabama,AL
63,Alabama,Walker,31170,0.15508501764517163,0.0,0.0,0.010715431504651908,0.8341995508501765,01127,Alabama,AL
64,Alabama,Washington,8876,0.254393871113114,0.0,0.0,0.00608382154123479,0.7395223073456512,01129,Alabama,AL
65,Alabama,Wilcox,5903,0.6857530069456209,0.0,0.0,0.003726918516008809,0.3105200745383703,01131,Alabama,AL
66,Alabama,Winston,11284,0.08631690889755406,0.0,0.0,0.010191421481744062,0.9034916696207019,01133,Alabama,AL
67,Alaska,District 1,7314,0.4753896636587367,0.006836204539239814,0.029532403609515995,0.008203445447087777,0.48003828274541976,02001,Alaska,AK
68,Alaska,District 10,11205,0.2433734939759036,0.00571173583221776,0.025524319500223113,0.004194556001784917,0.7211958946898706,02010,Alaska,AK
69,Alaska,District 11,10628,0.29450508091832894,0.008280015054572827,0.025310500564546482,0.0042340986074520135,0.6676703048550997,02011,Alaska,AK
70,Alaska,District 12,11238,0.2631251112297562,0.004805125467164976,0.02562733582487987,0.00409325502758498,0.702349172450614,02012,Alaska,AK
71,Alaska,District 13,7713,0.3456502009594192,0.005186049526772981,0.03993258135615195,0.006093608193958253,0.6031375599636977,02013,Alaska,AK
