,county,state_y,median_family_income,1p0c,1p1c,1p2c,1p3c,1p4c,2p0c,2p1c,2p2c,2p3c,2p4c,median_family_cost,income_cost_diff,state,county_name,totalvotes,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,county_fips,State,Abv
18,Adams,Washington,57949.953125,7296.0,9336.0,9336.0,12672.0,12672.0,8196.0,9336.0,9336.0,12672.0,12672.0,9336.0,48613.953125,Washington,Adams,5862,0.3094506994199932,0.0030706243602865915,0.013988399863527807,0.0069941999317639034,0.6664960764244285,53001,Washington,WA
19,Adams,Wisconsin,59595.95703125,6252.0,9180.0,9180.0,11664.0,11664.0,6960.0,9180.0,9180.0,11664.0,11664.0,9180.0,50415.95703125,Wisconsin,Adams,11818,0.36630563547131495,8.461668641056016e-05,0.007192418344897614,0.003469284142832967,0.622948045354544,55001,Wisconsin,WI
20,Addison,Vermont,86721.6171875,9012.0,12696.0,12696.0,15864.0,15864.0,10152.0,12696.0,12696.0,15864.0,15864.0,12696.0,74025.6171875,Vermont,Addison,22611,0.6673300605899783,0.0030516120472336475,0.010968112865419486,0.02821635487152271,0.29043385962584584,50001,Vermont,VT
21,Aiken,South Carolina,64666.42578125,7050.6072,9034.97604,9034.97604,12283.1328,12283.1328,7848.78876,9034.97604,9034.97604,12283.1328,12283.1328,9034.97604,55631.44974125,South Carolina,Aiken,85185,0.37888125843751835,0.0032165287315841992,0.011527851147502495,0.0007630451370546458,0.6056113165463404,45003,South Carolina,SC
22,Aitkin,Minnesota,62395.0859375,6288.0,8808.0,8808.0,11820.0,11820.0,6684.0,8808.0,8808.0,11820.0,11820.0,8808.0,53587.0859375,Minnesota,Aitkin,10025,0.3598004987531172,0.002394014962593516,0.005486284289276808,0.008079800498753117,0.6242394014962593,27001,Minnesota,MN
23,Alachua,Florida,77956.6328125,9751.86624,13119.5904,13119.5904,17141.478,17141.478,10866.3648,13119.5904,13119.5904,17141.478,17141.478,13119.5904,64837.0424125,Florida,Alachua,142604,0.629042663599899,0.002117752657709461,0.009747272166278645,0.0016549325404616982,0.35743737903565115,12001,Florida,FL
24,Alamance,North Carolina,66801.1953125,7632.0,10620.0,10620.0,13512.0,13512.0,8184.0,10620.0,10620.0,13512.0,13512.0,10620.0,56181.1953125,North Carolina,Alamance,86091,0.4509762925276742,0.0025902823756257915,0.007968312599458712,0.0034963004262931084,0.5349688120709482,37001,North Carolina,NC
25,Alameda,California,122820.71875,19058.5668,28474.3356,28474.3356,38188.8276,38188.8276,23109.2592,28474.3356,28474.3356,38188.8276,38188.8276,28474.3356,94346.38315000001,California,Alameda,770070,0.8020816289428234,0.006056592257846689,0.00817458153154908,0.006678613632526914,0.17700858363525393,06001,California,CA
26,Alamosa,Colorado,49323.58984375,7776.0,10140.0,10140.0,13044.0,13044.0,7908.0,10140.0,10140.0,13044.0,13044.0,10140.0,39183.58984375,Colorado,Alamosa,7808,0.48142930327868855,0.002945696721311475,0.011526639344262296,0.0157530737704918,0.4883452868852459,08003,Colorado,CO
27,Albany,New York,97041.21875,9765.16548,13482.93,13482.93,16766.1504,16766.1504,11008.44432,13482.93,13482.93,16766.1504,16766.1504,13482.93,83558.28875,New York,Albany,154727,0.6429000756170545,0.005034673974160942,0.009843143084271007,0.012085802736432555,0.33013630458808096,36001,New York,NY
28,Albany,Wyoming,82162.515625,6852.0,9756.0,9756.0,13968.0,13968.0,8016.0,9756.0,9756.0,13968.0,13968.0,9756.0,72406.515625,Wyoming,Albany,18744,0.48506188647033716,0.0,0.0317434912505335,0.025501493811352968,0.4576931284677764,56001,Wyoming,WY
29,Albemarle,Virginia,105842.1484375,12196.8792,16271.0724,16271.0724,20242.4484,20242.4484,13841.9796,16271.0724,16271.0724,20242.4484,20242.4484,16271.0724,89571.0760375,Virginia,Albemarle,64657,0.6567889014337195,0.0,0.015682756700743927,0.005768903598991602,0.321759438266545,51003,Virginia,VA
30,Alcona,Michigan,52728.54296875,7548.0,8808.0,8808.0,11820.0,11820.0,7728.0,8808.0,8808.0,11820.0,11820.0,8808.0,43920.54296875,Michigan,Alcona,7064,0.3032276330690827,0.0015571913929784825,0.007078142695356738,0.001840317100792752,0.6862967157417894,26001,Michigan,MI
31,Alcorn,Mississippi,54691.8359375,6192.0,8208.0,8208.0,11196.0,11196.0,6228.0,8208.0,8208.0,11196.0,11196.0,8208.0,46483.8359375,Mississippi,Alcorn,15793,0.17615399227505857,0.0005698727284239853,0.007471664661558918,0.004179066675109226,0.8116254036598493,28003,Mississippi,MS
32,Alexander,Illinois,46540.890625,4349.68356,6536.67552,6536.67552,9355.46484,9355.46484,4957.1814,6536.67552,6536.67552,9355.46484,9355.46484,6536.67552,40004.215105,Illinois,Alexander,2618,0.4255156608097785,0.0019098548510313217,0.00267379679144385,0.002291825821237586,0.5676088617265088,17003,Illinois,IL
33,Alexander,North Carolina,61949.44140625,6334.8684,7881.62256,7881.62256,10224.50028,10224.50028,6368.98824,7881.62256,7881.62256,10224.50028,10224.50028,7881.62256,54067.81884625,North Carolina,Alexander,20236,0.2048329709428741,0.0008895038545167029,0.0062759438624234035,0.002866179086776043,0.7851354022534097,37003,North Carolina,NC
34,Alfalfa,Oklahoma,75357.734375,6816.0,9036.0,9036.0,11244.0,11244.0,6852.0,9036.0,9036.0,11244.0,11244.0,9036.0,66321.734375,Oklahoma,Alfalfa,2262,0.10256410256410256,0.0,0.013704686118479222,0.009283819628647215,0.874447391688771,40003,Oklahoma,OK
35,Alger,Michigan,60201.78515625,6036.0,8808.0,8808.0,10956.0,10956.0,7092.0,8808.0,8808.0,10956.0,10956.0,8808.0,51393.78515625,Michigan,Alger,5128,0.4003510140405616,0.0017550702028081124,0.007995319812792511,0.0021450858034321374,0.5877535101404057,26003,Michigan,MI
36,Allamakee,Iowa,70652.8203125,6228.0,8580.0,8580.0,11256.0,11256.0,6516.0,8580.0,8580.0,11256.0,11256.0,8580.0,62072.8203125,Iowa,Allamakee,7422,0.3470762597682565,0.0005389382915656157,0.009566154675289679,0.003637833468067906,0.6391808137968202,19005,Iowa,IA
37,Allegan,Michigan,75065.09375,7992.0,10272.0,10272.0,13536.0,13536.0,8040.0,10272.0,10272.0,13536.0,13536.0,10272.0,64793.09375,Michigan,Allegan,67094,0.3643992011208156,0.0021313381226339165,0.014054908039467016,0.0024890452201389098,0.6169255074969446,26005,Michigan,MI
38,Allegany,Maryland,62822.24609375,6032.87916,8874.01464,8874.01464,11666.78976,11666.78976,7096.79376,8874.01464,8874.01464,11666.78976,11666.78976,8874.01464,53948.23145375,Maryland,Allegany,30641,0.2988805848373095,0.003916321268888091,0.010051891256812768,0.005515485787017395,0.6816357168499723,24001,Maryland,MD
39,Allegany,New York,61645.5,6600.0,8808.0,8808.0,11412.0,11412.0,7104.0,8808.0,8808.0,11412.0,11412.0,8808.0,52837.5,New York,Allegany,20895,0.2894472361809045,0.004211533859775066,0.016176118688681504,0.013687485044268964,0.67647762622637,36003,New York,NY
40,Alleghany,North Carolina,45074.58203125,6264.0,8316.0,8316.0,10344.0,10344.0,6312.0,8316.0,8316.0,10344.0,10344.0,8316.0,36758.58203125,North Carolina,Alleghany,6076,0.2445687952600395,0.002468729427254773,0.00576036866359447,0.002139565503620803,0.7450625411454904,37005,North Carolina,NC
41,Alleghany,Virginia,60513.9375,6028.80468,8951.86152,8951.86152,11667.86796,11667.86796,6796.10664,8951.86152,8951.86152,11667.86796,11667.86796,8951.86152,51562.07598,Virginia,Alleghany,8203,0.27343654760453495,0.0,0.0108496891381202,0.0014628794343532854,0.7142508838229916,51005,Virginia,VA
42,Allegheny,Pennsylvania,87770.0078125,9113.0772,11997.60792,11997.60792,15392.676,15392.676,9853.35504,11997.60792,11997.60792,15392.676,15392.676,11997.60792,75772.3998925,Pennsylvania,Allegheny,719733,0.5961446814304749,0.0,0.01159318802944981,0.0,0.3922621305400753,42003,Pennsylvania,PA
43,Allen,Indiana,70590.1796875,6358.55856,9477.39552,9477.39552,12124.7808,12124.7808,7639.9416,9477.39552,9477.39552,12124.7808,12124.7808,9477.39552,61112.7841675,Indiana,Allen,169082,0.432860978696727,0.0001715144131249926,0.022048473521723188,0.0003134573757111934,0.5446055759927136,18003,Indiana,IN
44,Allen,Kansas,60393.80078125,6492.0,8616.0,8616.0,10716.0,10716.0,6540.0,8616.0,8616.0,10716.0,10716.0,8616.0,51777.80078125,Kansas,Allen,5892,0.2664630006788866,0.0,0.017651052274270197,0.0,0.7158859470468432,20001,Kansas,KS
45,Allen,Kentucky,56961.12109375,6240.0,8280.0,8280.0,10920.0,10920.0,6288.0,8280.0,8280.0,10920.0,10920.0,8280.0,48681.12109375,Kentucky,Allen,9363,0.1753711417280786,0.0,0.010573534123678308,0.003844921499519385,0.8102104026487237,21003,Kentucky,KY
46,Allen,Louisiana,58885.39453125,6552.0,8700.0,8700.0,11724.0,11724.0,6600.0,8700.0,8700.0,11724.0,11724.0,8700.0,50185.39453125,Louisiana,Allen,9810,0.2148827726809378,0.0,0.0074413863404689095,0.0056065239551478085,0.7720693170234455,22003,Louisiana,LA
47,Allen,Ohio,66157.375,6456.0,8964.0,8964.0,11832.0,11832.0,7380.0,8964.0,8964.0,11832.0,11832.0,8964.0,57193.375,Ohio,Allen,48006,0.2947339915843853,0.0,0.012290130400366622,0.003145440153314169,0.6898304378619339,39003,Ohio,OH
48,Allendale,South Carolina,49944.8203125,6144.0,8148.0,8148.0,11004.0,11004.0,6180.0,8148.0,8148.0,11004.0,11004.0,8148.0,41796.8203125,South Carolina,Allendale,3593,0.7564709156693571,0.0052880601168939605,0.0052880601168939605,0.0005566379070414695,0.23239632618981354,45005,South Carolina,SC
49,Alpena,Michigan,57685.03515625,6036.0,8808.0,8808.0,12444.0,12444.0,7272.0,8808.0,8808.0,12444.0,12444.0,8808.0,48877.03515625,Michigan,Alpena,16969,0.3535859508515528,0.0016500677706405798,0.012964818197890271,0.002062584713300725,0.6297365784666156,26007,Michigan,MI
50,Alpine,California,97334.890625,8676.0,12816.0,12816.0,18336.0,18336.0,9828.0,12816.0,12816.0,18336.0,18336.0,12816.0,84518.890625,California,Alpine,741,0.6423751686909581,0.005398110661268556,0.020242914979757085,0.002699055330634278,0.3292847503373819,06003,California,CA
51,Amador,California,79965.1015625,10560.0,13788.0,13788.0,19728.0,19728.0,10632.0,13788.0,13788.0,19728.0,19728.0,13788.0,66177.1015625,California,Amador,22304,0.36553981348637016,0.004931850789096126,0.0156474175035868,0.0047973457675753225,0.6090835724533716,06005,California,CA
52,Amelia,Virginia,84043.65625,8835.66504,10348.31688,10348.31688,13685.0484,13685.0484,9075.90972,10348.31688,10348.31688,13685.0484,13685.0484,10348.31688,73695.33937,Virginia,Amelia,7894,0.30542183937167466,0.0,0.010134279199391943,0.0016468203699011909,0.6827970610590322,51007,Virginia,VA
53,Amherst,Virginia,72444.6328125,6753.6438,8364.70236,8364.70236,11234.73408,11234.73408,7041.71412,8364.70236,8364.70236,11234.73408,11234.73408,8364.70236,64079.930452500004,Virginia,Amherst,17005,0.3335489561893561,0.0,0.014760364598647456,0.0024110555718906204,0.6492796236401058,51009,Virginia,VA
54,Amite,Mississippi,47401.37109375,6444.0,8232.0,8232.0,10236.0,10236.0,6456.0,8232.0,8232.0,10236.0,10236.0,8232.0,39169.37109375,Mississippi,Amite,7196,0.3640911617565314,0.0013896609227348527,0.0029182879377431907,0.005836575875486381,0.6257643135075042,28005,Mississippi,MS
55,Anderson,Kansas,63011.1796875,6516.0,8616.0,8616.0,10752.0,10752.0,6540.0,8616.0,8616.0,10752.0,10752.0,8616.0,54395.1796875,Kansas,Anderson,3792,0.20622362869198313,0.0,0.021360759493670885,0.0,0.772415611814346,20003,Kansas,KS
56,Anderson,Kentucky,69496.6171875,6432.0,8976.0,8976.0,12216.0,12216.0,7620.0,8976.0,8976.0,12216.0,12216.0,8976.0,60520.6171875,Kentucky,Anderson,13240,0.2527945619335347,0.0,0.013821752265861027,0.004003021148036254,0.729380664652568,21005,Kentucky,KY
57,Anderson,South Carolina,66383.2734375,7476.0,10128.0,10128.0,13104.0,13104.0,8160.0,10128.0,10128.0,13104.0,13104.0,10128.0,56255.2734375,South Carolina,Anderson,96093,0.28273651566711416,0.0018523721811162103,0.011686595277491597,0.0006035819466558438,0.7031209349276222,45007,South Carolina,SC
58,Anderson,Tennessee,63724.82421875,6585.56904,9456.20136,9456.20136,12474.588,12474.588,7693.71756,9456.20136,9456.20136,12474.588,12474.588,9456.20136,54268.62285875,Tennessee,Anderson,35570,0.3300815293786899,0.0,0.0,0.01813325836378971,0.6517852122575204,47001,Tennessee,TN
59,Anderson,Texas,54954.703125,6816.0,9288.0,9288.0,13272.0,13272.0,7908.0,9288.0,9288.0,13272.0,13272.0,9288.0,45666.703125,Texas,Anderson,19227,0.20570031726218338,0.0011442242679565195,0.006969365995735164,0.0003120611639881417,0.7858740313101368,48001,Texas,TX
60,Andrew,Missouri,75624.7109375,6751.28316,10233.3918,10233.3918,13728.0264,13728.0264,7765.85448,10233.3918,10233.3918,13728.0264,13728.0264,10233.3918,65391.3191375,Missouri,Andrew,9752,0.24107875307629203,0.001948318293683347,0.012305168170631665,0.0007178014766201805,0.7439499589827727,29003,Missouri,MO
61,Andrews,Texas,86046.9921875,9192.0,12528.0,12528.0,15708.0,15708.0,10056.0,12528.0,12528.0,15708.0,15708.0,12528.0,73518.9921875,Texas,Andrews,5863,0.14497697424526693,0.0017056114617090227,0.010233668770254136,0.0,0.8430837455227699,48003,Texas,TX
62,Androscoggin,Maine,69864.21875,8220.0,11364.0,11364.0,14568.0,14568.0,8844.0,11364.0,11364.0,14568.0,14568.0,11364.0,58500.21875,Maine,Androscoggin,59361,0.46523811930392006,0.010158184666700359,0.018614915516921883,0.012937787436195482,0.4930509930762622,23001,Maine,ME
63,Angelina,Texas,59067.140625,8856.0,10452.0,10452.0,13212.0,13212.0,8904.0,10452.0,10452.0,13212.0,13212.0,10452.0,48615.140625,Texas,Angelina,34574,0.26444727251692024,0.00216926013767571,0.007925030369641928,0.0001735408110140568,0.7252848961647481,48005,Texas,TX
64,Anne Arundel,Maryland,119051.2421875,13952.3376,21057.8352,21057.8352,27280.8516,27280.8516,16964.9472,21057.8352,21057.8352,27280.8516,27280.8516,21057.8352,97993.4069875,Maryland,Anne Arundel,309617,0.5581831746964798,0.0040275566264126325,0.015025014776320421,0.009928395404645093,0.412835858496142,24003,Maryland,MD
65,Anoka,Minnesota,97988.984375,10902.81372,15880.7136,15880.7136,22315.5588,22315.5588,12796.8444,15880.7136,15880.7136,22315.5588,22315.5588,15880.7136,82108.270775,Minnesota,Anoka,211132,0.4778669268514484,0.003462288994562643,0.011722524297595818,0.010093211829566337,0.49685504802682684,27003,Minnesota,MN
66,Anson,North Carolina,52531.39453125,6408.0,8316.0,8316.0,10596.0,10596.0,6444.0,8316.0,8316.0,10596.0,10596.0,8316.0,44215.39453125,North Carolina,Anson,11194,0.5171520457387886,0.0012506700017866715,0.0036626764338038233,0.0025906735751295338,0.4753439342504913,37007,North Carolina,NC
67,Antelope,Nebraska,65682.984375,5808.0,8808.0,8808.0,11040.0,11040.0,7212.0,8808.0,8808.0,11040.0,11040.0,8808.0,56874.984375,Nebraska,Antelope,3583,0.12615126988557074,0.0,0.010605637733742674,0.0,0.8632430923806865,31003,Nebraska,NE
68,Antrim,Michigan,68512.9140625,5808.0,8808.0,8808.0,12168.0,12168.0,7608.0,8808.0,8808.0,12168.0,12168.0,8808.0,59704.9140625,Michigan,Antrim,15949,0.37369114051037683,0.001755595962129287,0.011850272744372689,0.0015047965389679604,0.6111981942441532,26009,Michigan,MI
69,Apache,Arizona,42365.81640625,6408.0,9420.0,9420.0,12300.0,12300.0,7152.0,9420.0,9420.0,12300.0,12300.0,9420.0,32945.81640625,Arizona,Apache,35172,0.6622597520755146,0.0,0.012424655976344819,0.0,0.3253155919481406,04001,Arizona,AZ
70,Appanoose,Iowa,54523.4375,6228.0,8580.0,8580.0,11088.0,11088.0,6516.0,8580.0,8580.0,11088.0,11088.0,8580.0,45943.4375,Iowa,Appanoose,6516,0.2902087170042971,0.0013812154696132596,0.011049723756906077,0.003376304481276857,0.6939840392879066,19007,Iowa,IA
71,Appling,Georgia,51470.68359375,6084.0,7776.0,7776.0,11124.0,11124.0,6120.0,7776.0,7776.0,11124.0,11124.0,7776.0,43694.68359375,Georgia,Appling,8341,0.21328377892339048,0.0,0.00431602925308716,0.0,0.7824001918235224,13001,Georgia,GA
72,Appomattox,Virginia,70459.7734375,6410.3958,7939.5732,7939.5732,10663.73808,10663.73808,6683.82492,7939.5732,7939.5732,10663.73808,10663.73808,7939.5732,62520.2002375,Virginia,Appomattox,9268,0.26089771255934396,0.0,0.01283987915407855,0.0031290461804056972,0.7231333621061717,51011,Virginia,VA
73,Aransas,Texas,59862.9296875,8196.0,10872.0,10872.0,15564.0,15564.0,9348.0,10872.0,10872.0,15564.0,15564.0,10872.0,48990.9296875,Texas,Aransas,12290,0.2372660699755899,0.0025223759153783563,0.00838079739625712,8.136696501220504e-05,0.7517493897477624,48007,Texas,TX
74,Arapahoe,Colorado,96874.875,14269.5924,19425.5268,19425.5268,26457.4488,26457.4488,15782.484,19425.5268,19425.5268,26457.4488,26457.4488,19425.5268,77449.34820000001,Colorado,Arapahoe,350183,0.60998677834161,0.002644331678008356,0.015486188649934464,0.00829280690381886,0.36358989442662837,08005,Colorado,CO
