,"('total_cost', '1p0c')","('total_cost', '1p1c')","('total_cost', '1p2c')","('total_cost', '1p3c')","('total_cost', '1p4c')","('total_cost', '2p0c')","('total_cost', '2p1c')","('total_cost', '2p2c')","('total_cost', '2p3c')","('total_cost', '2p4c')",county_name,noHS,HS,someCol,Col
25,57829.0836,93750.2808,111716.754,141942.936,149786.916,76836.1116,107588.1216,123239.1,152760.756,161340.132,Alameda ,10.99556649297281,16.65392092727557,22.70746308412272,49.64304949562889
26,36017.0064,52213.9332,63747.5508,76868.9184,81921.1524,47088.99,64807.2132,74933.8188,86408.982,91688.2212,Alamosa ,13.0527817403709,28.42877521907479,32.88159771754636,25.63684532300795
27,38286.5934,60945.1788,84924.5124,104736.7326,110192.9352,54648.7644,76343.8566,98554.08720000001,116220.5754,122425.98060000001,Albany ,7.184548746715899,21.23742573788729,27.25839664844138,44.31962886695543
28,38286.5934,60945.1788,84924.5124,104736.7326,110192.9352,54648.7644,76343.8566,98554.08720000001,116220.5754,122425.98060000001,Albany ,4.12947477215071,14.41322935262614,25.19496382598891,56.26233204923425
29,45136.608,70428.0756,87029.7012,105382.4412,112952.508,61360.7172,83537.3496,97934.3676,115583.6724,122686.488,Albemarle ,6.680372698638622,14.68917618840522,19.71559983658193,58.91485127637422
30,36083.8884,49232.8944,62700.9252,76972.524,81399.48,46907.5692,60286.9272,73700.4372,85707.1644,90326.754,Alcona ,9.572301425661914,37.94177548819935,33.05379178147837,19.43213130466036
31,34228.1628,44165.6748,51433.752,62604.0936,67627.1016,45995.9412,56929.6176,63299.5776,73734.5328,79026.51,Alcorn ,19.00557045595214,31.34309882401485,29.82876005776769,19.82257066226532
32,34744.8984,57197.3964,73423.734,89878.4292,96676.1424,49214.3784,70979.1324,85958.25,100931.4144,107533.992,Aleutians East Borough,15.28098537336412,41.57043879907621,27.21324095458045,15.93533487297922
33,38894.2704,69529.4352,90806.6484,113326.4652,122105.568,57142.3068,85166.4024,104340.1404,124810.944,134450.268,Aleutians West Census Area,8.963001563314227,43.3559145388223,30.87545596664929,16.80562793121417
34,33816.9072,50699.979600000006,62792.0274,76480.2306,82786.98060000001,46936.8036,64017.034799999994,75765.4776,88038.70019999999,94132.3854,Alexander ,13.79942393296674,37.732390678188,36.21366849960722,12.25451688923802
35,33816.9072,50699.979600000006,62792.0274,76480.2306,82786.98060000001,46936.8036,64017.034799999994,75765.4776,88038.70019999999,94132.3854,Alexander ,14.97593766709953,39.81361240546941,30.3109006187457,14.89954930868535
36,52460.5776,78543.8676,98037.6504,121825.5,128990.352,65671.752,91476.6972,108654.3636,130928.832,138731.34,Alexandria city,6.850617664967845,10.43399200914194,17.53150883748863,65.18388148840157
37,39141.1344,54161.3436,70815.0876,85042.1952,91546.3716,52110.018,68911.5936,83661.8088,96310.6872,102860.9292,Alfalfa ,14.45275958840037,35.10289990645463,29.44340505144996,21.00093545369504
38,35842.6404,52366.4472,66875.508,80790.9024,86596.1136,50142.3048,65492.6016,79817.1504,91367.8128,97326.8784,Alger ,8.413813286508633,46.54667837284168,27.09979514193737,17.93971319871232
39,34784.2296,50645.8008,61054.5816,73386.24,78606.1176,46469.6508,63387.2052,72170.0448,83006.4204,88317.738,Allamakee ,9.645448043322775,40.95228364156534,32.07315827117605,17.32911004393583
40,36224.7984,51784.3476,66881.3736,81283.014,86059.9104,47252.9064,64124.3376,77450.016,90201.0408,95068.3188,Allegan ,8.692286900754356,36.6206354276728,30.95805587635452,23.72902179521832
41,33335.865,50911.5276,63249.4776,75147.6738,78380.29980000001,45562.7184,63234.504,74252.0418,84655.0428,88276.8162,Allegany ,9.735102091737016,40.81590219154157,29.28015968727908,20.16883602944234
