,county,state_y,median_family_income,1p0c,1p1c,1p2c,1p3c,1p4c,2p0c,2p1c,2p2c,2p3c,2p4c,median_family_cost,income_cost_diff,state,county_name,totalvotes,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,county_fips,State,Abv
27,Albany,New York,97041.21875,39742.4328,65165.7828,91147.7928,110110.2192,113810.3904,55212.2748,80441.754,104415.3636,121080.6,125265.516,97781.57819999999,16599.46475,New York,Albany,154727,0.6429000756170545,0.005034673974160942,0.009843143084271007,0.012085802736432555,0.33013630458808096,36001,New York,NY
28,Albany,Wyoming,82162.515625,36830.754,56724.5748,78701.232,99363.246,106575.48,54085.254,72245.9592,92692.8108,111360.5508,119586.4452,85697.0214,9916.556425000002,Wyoming,Albany,18744,0.48506188647033716,0.0,0.0317434912505335,0.025501493811352968,0.4576931284677764,56001,Wyoming,WY
29,Albemarle,Virginia,105842.1484375,45136.608,70428.0756,87029.7012,105382.4412,112952.508,61360.7172,83537.3496,97934.3676,115583.6724,122686.488,92482.0344,22304.7988375,Virginia,Albemarle,64657,0.6567889014337195,0.0,0.015682756700743927,0.005768903598991602,0.321759438266545,51003,Virginia,VA
30,Alcona,Michigan,52728.54296875,36083.8884,49232.8944,62700.9252,76972.524,81399.48,46907.5692,60286.9272,73700.4372,85707.1644,90326.754,68200.68119999999,-7558.384231249998,Michigan,Alcona,7064,0.3032276330690827,0.0015571913929784825,0.007078142695356738,0.001840317100792752,0.6862967157417894,26001,Michigan,MI
31,Alcorn,Mississippi,54691.8359375,34228.1628,44165.6748,51433.752,62604.0936,67627.1016,45995.9412,56929.6176,63299.5776,73734.5328,79026.51,59766.855599999995,-2237.7816624999978,Mississippi,Alcorn,15793,0.17615399227505857,0.0005698727284239853,0.007471664661558918,0.004179066675109226,0.8116254036598493,28003,Mississippi,MS
32,Alexander,Illinois,46540.890625,33243.3492,51780.264,65094.9312,80496.252,87137.2152,48105.5688,66245.7888,79631.484,92639.6724,99429.0816,72938.63639999999,-19704.898174999995,Illinois,Alexander,2618,0.4255156608097785,0.0019098548510313217,0.00267379679144385,0.002291825821237586,0.5676088617265088,17003,Illinois,IL
33,Alexander,North Carolina,61949.44140625,34390.4652,49619.6952,60489.1236,72464.2092,78436.746,45768.0384,61788.2808,71899.4712,83437.728,88835.6892,66843.876,161.16060624999955,North Carolina,Alexander,20236,0.2048329709428741,0.0008895038545167029,0.0062759438624234035,0.002866179086776043,0.7851354022534097,37003,North Carolina,NC
34,Alfalfa,Oklahoma,75357.734375,39141.1344,54161.3436,70815.0876,85042.1952,91546.3716,52110.018,68911.5936,83661.8088,96310.6872,102860.9292,77238.4482,6446.140775000007,Oklahoma,Alfalfa,2262,0.10256410256410256,0.0,0.013704686118479222,0.009283819628647215,0.874447391688771,40003,Oklahoma,OK
35,Alger,Michigan,60201.78515625,35842.6404,52366.4472,66875.508,80790.9024,86596.1136,50142.3048,65492.6016,79817.1504,91367.8128,97326.8784,73346.32920000001,-5290.816443750002,Michigan,Alger,5128,0.4003510140405616,0.0017550702028081124,0.007995319812792511,0.0021450858034321374,0.5877535101404057,26003,Michigan,MI
36,Allamakee,Iowa,70652.8203125,34784.2296,50645.8008,61054.5816,73386.24,78606.1176,46469.6508,63387.2052,72170.0448,83006.4204,88317.738,67778.625,7265.615112500003,Iowa,Allamakee,7422,0.3470762597682565,0.0005389382915656157,0.009566154675289679,0.003637833468067906,0.6391808137968202,19005,Iowa,IA
37,Allegan,Michigan,75065.09375,36224.7984,51784.3476,66881.3736,81283.014,86059.9104,47252.9064,64124.3376,77450.016,90201.0408,95068.3188,72165.6948,10940.756150000001,Michigan,Allegan,67094,0.3643992011208156,0.0021313381226339165,0.014054908039467016,0.0024890452201389098,0.6169255074969446,26005,Michigan,MI
38,Allegany,Maryland,62822.24609375,30804.0408,48333.1668,58566.3696,70361.9124,74347.494,42997.266,58898.8128,68314.752,78968.2788,83279.1504,63606.7824,3923.4332937500003,Maryland,Allegany,30641,0.2988805848373095,0.003916321268888091,0.010051891256812768,0.005515485787017395,0.6816357168499723,24001,Maryland,MD
39,Allegany,New York,61645.5,35867.6892,53489.8884,67932.5856,79933.4352,82413.1056,48128.1708,67570.1952,80189.3316,90341.8068,93274.482,73933.0104,-5924.695200000002,New York,Allegany,20895,0.2894472361809045,0.004211533859775066,0.016176118688681504,0.013687485044268964,0.67647762622637,36003,New York,NY
40,Alleghany,North Carolina,45074.58203125,35626.77,50417.232,61043.6076,72438.8616,77716.5408,47475.0552,63084.996,72980.478,83145.6504,89467.518,67761.9288,-18010.41396875,North Carolina,Alleghany,6076,0.2445687952600395,0.002468729427254773,0.00576036866359447,0.002139565503620803,0.7450625411454904,37005,North Carolina,NC
41,Alleghany,Virginia,60513.9375,34726.3416,51973.5528,62938.3944,76895.5428,82561.0428,47910.996,64429.8576,75471.6216,87152.8596,92950.6176,69950.7396,-3915.920100000003,Virginia,Alleghany,8203,0.27343654760453495,0.0,0.0108496891381202,0.0014628794343532854,0.7142508838229916,51005,Virginia,VA
42,Allegheny,Pennsylvania,87770.0078125,34433.1324,54845.1216,71198.4732,86882.3556,91950.48,46449.4956,65896.7172,81142.6116,94893.1176,101057.3316,76170.5424,21873.2906125,Pennsylvania,Allegheny,719733,0.5961446814304749,0.0,0.01159318802944981,0.0,0.3922621305400753,42003,Pennsylvania,PA
43,Allen,Indiana,70590.1796875,32467.2684,53318.76,70081.0308,84717.7788,90484.1136,46417.4652,66496.6116,81676.1952,94580.25,100553.3088,75878.613,4093.568087499996,Indiana,Allen,169082,0.432860978696727,0.0001715144131249926,0.022048473521723188,0.0003134573757111934,0.5446055759927136,18003,Indiana,IN
44,Allen,Kansas,60393.80078125,35043.6504,49224.756,57919.74,69439.014,74604.3516,46892.0628,61860.2232,70586.976,80306.9124,85801.8456,65649.6186,-1466.4224187500004,Kansas,Allen,5892,0.2664630006788866,0.0,0.017651052274270197,0.0,0.7158859470468432,20001,Kansas,KS
45,Allen,Kentucky,56961.12109375,35693.1504,50579.6664,66233.6196,80908.2072,87610.0728,47958.9108,63374.772,78208.1892,91976.988,98041.7928,72220.9044,-6413.650906249997,Kentucky,Allen,9363,0.1753711417280786,0.0,0.010573534123678308,0.003844921499519385,0.8102104026487237,21003,Kentucky,KY
46,Allen,Louisiana,58885.39453125,35485.4736,48041.2212,57738.8496,70788.6384,77160.6096,47883.0708,61034.3028,69929.232,82361.244,88028.262,65481.7674,-2148.9082687499977,Louisiana,Allen,9810,0.2148827726809378,0.0,0.0074413863404689095,0.0056065239551478085,0.7720693170234455,22003,Louisiana,LA
47,Allen,Ohio,66157.375,31209.1704,48013.65,59690.0508,72861.9204,77241.1524,43017.1176,58980.738,70750.236,82135.6872,86854.4124,65220.1434,7176.637000000002,Ohio,Allen,48006,0.2947339915843853,0.0,0.012290130400366622,0.003145440153314169,0.6898304378619339,39003,Ohio,OH
48,Allendale,South Carolina,49944.8203125,32821.254,42644.3436,50419.2948,61210.0836,65123.1036,42794.5752,54169.6056,60670.7928,70628.1624,74967.3048,57420.1992,-4224.785287500003,South Carolina,Allendale,3593,0.7564709156693571,0.0052880601168939605,0.0052880601168939605,0.0005566379070414695,0.23239632618981354,45005,South Carolina,SC
49,Alpena,Michigan,57685.03515625,32169.8472,47681.7396,61304.5308,76621.0728,81062.0688,44957.502,59136.2748,72616.1424,85764.8616,90442.6404,66960.3366,-1451.2396437499992,Michigan,Alpena,16969,0.3535859508515528,0.0016500677706405798,0.012964818197890271,0.002062584713300725,0.6297365784666156,26007,Michigan,MI
50,Alpine,California,97334.890625,45336.0528,64915.5816,78177.2232,100075.6056,108568.476,60387.5856,79509.1524,91045.242,111005.238,118757.484,85277.1972,17825.738224999994,California,Alpine,741,0.6423751686909581,0.005398110661268556,0.020242914979757085,0.002699055330634278,0.3292847503373819,06003,California,CA
51,Amador,California,79965.1015625,46197.018,65148.024,79080.1704,102434.6364,110302.8276,60234.726,80090.016,92165.1324,112465.2888,121944.6,86127.5742,-124.91443750000326,California,Amador,22304,0.36553981348637016,0.004931850789096126,0.0156474175035868,0.0047973457675753225,0.6090835724533716,06005,California,CA
52,Amelia,Virginia,84043.65625,40351.3944,58358.0628,71721.258,87160.0488,93952.512,53120.7132,70464.1644,82586.9472,96915.2112,103155.6444,77154.1026,13579.491850000006,Virginia,Amelia,7894,0.30542183937167466,0.0,0.010134279199391943,0.0016468203699011909,0.6827970610590322,51007,Virginia,VA
53,Amherst,Virginia,72444.6328125,35560.4976,52133.238,65204.3616,79315.758,85175.9352,47902.3092,65351.3208,76973.0856,89400.1464,95343.8316,71162.2032,7093.312012499999,Virginia,Amherst,17005,0.3335489561893561,0.0,0.014760364598647456,0.0024110555718906204,0.6492796236401058,51009,Virginia,VA
