,county_name,noHS,HS,someCol,Col
0,United States,11.12595967644428,26.48712959947021,28.71688902051139,33.67002170357412
1,Alabama,12.59729984419136,30.4999731970474,30.2337891202275,26.66893783853374
2,Autauga County,10.41550966829909,32.75862068965517,28.69440096935427,28.13146867269147
3,Baldwin County,8.985843669162906,27.37549158213821,31.1883785969613,32.45028615173759
4,Barbour County,24.32898027229786,36.67685468185607,27.84106696304529,11.15309808280078
5,Bibb County,19.46191692096905,43.9185402005356,24.70573581615495,11.91380706234041
6,Blount County,16.35192288777417,35.1234385757844,33.62102881872725,14.90360971771417
7,Bullock County,22.39348553148175,41.3116184382725,24.60375163588774,11.69114439435801
8,Butler County,14.43514644351464,45.20322773460849,26.32247459653317,14.03915122534369
9,Calhoun County,14.78514383962723,34.61495334089182,31.07160210806972,19.52830071141124
10,Chambers County,17.21846302561624,36.23328500080554,32.89431287256323,13.65393910101498
11,Cherokee County,20.17791277934476,36.93317422434367,30.06617487524409,12.82273812106748
12,Chilton County,18.23868474487457,42.94556887404205,25.28001572018078,13.5357306609026
13,Choctaw County,19.41601120568904,37.46363538411808,31.40825342096757,11.7120999892253
14,Clarke County,17.7761386686336,41.42848361915299,26.91007437457742,13.885303337636
15,Clay County,16.99267729962885,38.24857056876317,31.37726953556024,13.38148259604775
16,Cleburne County,16.94289231934842,37.48461028506487,29.18837011080595,16.38412728478076
17,Coffee County,13.64377955368747,27.95122086110113,35.72435915161905,22.68064043359234
18,Colbert County,13.20376330774944,37.74201535033424,31.19584055459272,17.85838078732359
19,Conecuh County,12.42931332948644,48.47085978072706,26.64743219849971,12.45239469128679
20,Coosa County,14.90508266993264,41.7636252296387,32.12492345376607,11.20636864666258
21,Covington County,14.81775860111275,37.98872109306991,31.38791113129707,15.80560917452027
22,Crenshaw County,18.76952914556621,41.82738928994721,22.98243723736666,16.42064432711992
23,Cullman County,15.78521539553853,32.40262206297574,35.33510559252348,16.47705694896224
24,Dale County,15.15503183955246,30.8754389097185,35.28834136761292,18.68118788311611
25,Dallas County,14.09248071735248,38.24233443519891,31.5513507352103,16.11383411223831
