state,county_name,totalvotes,county_fips,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,fips
Alabama,Autauga,27770,01001,0.27018365142239825,0.0,0.0,0.015448325531148721,0.714368023046453,1001
Alabama,Baldwin,109679,01003,0.22409029987509005,0.0,0.0,0.014195971881581707,0.7617137282433283,1003
Alabama,Barbour,10518,01005,0.45788172656398557,0.0,0.0,0.007606008746910059,0.5345122646891044,1005
Alabama,Bibb,9595,01007,0.20698280354351226,0.0,0.0,0.008754559666492965,0.7842626367899947,1007
Alabama,Blount,27588,01009,0.09569377990430622,0.0,0.0,0.008590691605045673,0.8957155284906481,1009
Alabama,Bullock,4613,01011,0.7470192933015392,0.0,0.0,0.004552352048558422,0.24842835464990246,1011
Alabama,Butler,9488,01013,0.4178962900505902,0.0,0.0,0.006850758853288365,0.5752529510961214,1013
Alabama,Calhoun,50983,01015,0.29845242531824334,0.0,0.0,0.013063177922052449,0.6884843967597042,1015
Alabama,Chambers,15284,01017,0.41644857367181365,0.0,0.0,0.010861031143679666,0.5726903951845067,1017
Alabama,Cherokee,12301,01019,0.13202178684659785,0.0,0.0,0.007641655149987806,0.8603365580034144,1019
Alabama,Chilton,19310,01021,0.1591403417918177,0.0,0.0,0.007871569135163127,0.8329880890730191,1021
Alabama,Choctaw,7464,01023,0.41894426580921756,0.0,0.0,0.005493033226152197,0.5755627009646302,1023
Alabama,Clarke,13135,01025,0.4381423677198325,0.0,0.0,0.0042634183479253905,0.5575942139322421,1025
Alabama,Clay,6930,01027,0.18282828282828284,0.0,0.0,0.008946608946608947,0.8082251082251082,1027
Alabama,Cleburne,7227,01029,0.09339975093399751,0.0,0.0,0.0094091600940916,0.8971910889719109,1029
Alabama,Coffee,22275,01031,0.22787878787878788,0.0,0.0,0.013468013468013467,0.7586531986531987,1031
Alabama,Colbert,27886,01033,0.2991823854263788,0.0,0.0,0.012192498027684143,0.688625116545937,1033
Alabama,Conecuh,6441,01035,0.46048750194069243,0.0,0.0,0.005123428039124359,0.5343890700201832,1035
Alabama,Coosa,5479,01037,0.3277970432560686,0.0,0.0,0.009490782989596642,0.6627121737543348,1037
Alabama,Covington,17430,01039,0.15611015490533564,0.0,0.0,0.0070567986230636835,0.8368330464716007,1039
Alabama,Crenshaw,6617,01041,0.2569140093698051,0.0,0.0,0.008009672056823333,0.7350763185733716,1041
Alabama,Cullman,41851,01043,0.10699863802537574,0.0,0.0,0.011779885785285896,0.8812214761893383,1043
Alabama,Dale,19738,01045,0.2619313000303982,0.0,0.0,0.01342587901509778,0.724642820954504,1045
Alabama,Dallas,17864,01047,0.6846171070309002,0.0,0.0,0.006157635467980296,0.30922525750111957,1047
Alabama,Dekalb,29356,01049,0.14583049461779535,0.0,0.0,0.010491892628423491,0.8436776127537812,1049
Alabama,Elmore,41030,01051,0.2526687789422374,0.0,0.0,0.012161832805264441,0.7351693882524982,1051
Alabama,Escambia,15910,01053,0.3091137649277184,0.0,0.0,0.007730986800754243,0.6831552482715273,1053
Alabama,Etowah,47728,01055,0.2423524974857526,0.0,0.0,0.013262655045256453,0.7443848474689909,1055
Alabama,Fayette,8766,01057,0.1591375770020534,0.0,0.0,0.008099475245265799,0.8327629477526808,1057
Alabama,Franklin,12578,01059,0.16584512641119414,0.0,0.0,0.009222451900143107,0.8249324216886628,1059
Alabama,Geneva,12545,01061,0.12714228776404943,0.0,0.0,0.008130729374252691,0.8647269828616979,1061
Alabama,Greene,4775,01063,0.8134031413612566,0.0,0.0,0.003350785340314136,0.18324607329842932,1063
Alabama,Hale,7900,01065,0.590253164556962,0.0,0.0,0.00569620253164557,0.4040506329113924,1065
Alabama,Henry,9298,01067,0.2802753280275328,0.0,0.0,0.009141750914175092,0.7105829210582921,1067
Alabama,Houston,46173,01069,0.27975223615532885,0.0,0.0,0.013817599029735993,0.7064301648149351,1069
Alabama,Jackson,23636,01071,0.15726011169402607,0.0,0.0,0.010534777458114741,0.8322051108478592,1071
Alabama,Jefferson,325848,01073,0.5575851317178562,0.0,0.0,0.016317424075028848,0.426097444207115,1073
Alabama,Lamar,7193,01075,0.13596552203531212,0.0,0.0,0.005699986097594884,0.858334491867093,1075
Alabama,Lauderdale,44339,01077,0.26872505018155574,0.0,0.0,0.015855116263334763,0.7154198335551095,1077
Alabama,Lawrence,16031,01079,0.22219449815981535,0.0,0.0,0.009169733641070425,0.7686357681991142,1079
Alabama,Lee,71449,01081,0.38992848045459,0.0,0.0,0.019146524094109083,0.590924995451301,1081
Alabama,Limestone,49235,01083,0.27768863613283234,0.0,0.0,0.01874682644460242,0.7035645374225652,1083
Alabama,Lowndes,6835,01085,0.7274323335771763,0.0,0.0,0.003950256035113387,0.2686174103877103,1085
Alabama,Macon,8723,01087,0.8148572738736674,0.0,0.0,0.008483319958729795,0.1766594061676029,1087
Alabama,Madison,194767,01089,0.4481560017867503,0.0,0.0,0.02413653236944657,0.5277074658438031,1089
Alabama,Marengo,10900,01091,0.50348623853211,0.0,0.0,0.006330275229357798,0.4901834862385321,1091
Alabama,Marion,13807,01093,0.10596074454986601,0.0,0.0,0.010067357137683784,0.8839718983124502,1093
Alabama,Marshall,39655,01095,0.1498676081200353,0.0,0.0,0.013138317992686924,0.8369940738872778,1095
Alabama,Mobile,183164,01097,0.43389530693804457,0.0,0.0,0.013359612150859339,0.5527450809110961,1097
Alabama,Monroe,10668,01099,0.4176040494938133,0.0,0.0,0.006186726659167604,0.5762092238470191,1099
Alabama,Montgomery,99139,01101,0.6508941990538537,0.0,0.0,0.013102815239209595,0.3360029857069367,1101
Alabama,Morgan,53722,01103,0.24634228062990954,0.0,0.0,0.015338222702058747,0.7383194966680318,1103
Alabama,Perry,5230,01105,0.7380497131931166,0.0,0.0,0.005927342256214149,0.2560229445506692,1105
Alabama,Pickens,9668,01107,0.41601158460901944,0.0,0.0,0.005378568473314025,0.5786098469176665,1107
Alabama,Pike,13841,01109,0.40719601184885484,0.0,0.0,0.011776605736579727,0.5810273824145654,1109
Alabama,Randolph,10837,01111,0.20328504198578942,0.0,0.0,0.0069207345206237884,0.7897942234935867,1111
Alabama,Russell,21329,01113,0.5264194289465047,0.0,0.0,0.011111632050260209,0.46246893900323505,1113
Alabama,Shelby,114950,01117,0.28941278816876903,0.0,0.0,0.01724227925184863,0.6933449325793823,1117
